	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
FGBKPADF_00669	264.852745612095	0.0617096345869224	0.205853894155044	0.299773948120914	0.764349588332061	NA
FGBKPADF_00670	1142.17439963691	0.886371290554828	0.156099396755796	5.67824930125437	1.3608028885754e-08	6.37762953779002e-06
FGBKPADF_00671	1924.76188848732	0.982533949317112	0.147908359641287	6.64285610157525	3.07662181410416e-11	8.65146054126089e-08
FGBKPADF_00672	1137.9065474309	0.984058893407166	0.160456214922703	6.13288113446538	8.63016310785627e-10	1.21340093296459e-06
FGBKPADF_00673	489.778325222136	0.830297827073257	0.202720026413889	4.09578590611495	4.20738623291419e-05	0.00622693162471301
FGBKPADF_00674	661.887167746061	0.753971391375704	0.183850333061028	4.10100639374653	4.11357192664899e-05	0.00622693162471301
FGBKPADF_00675	1911.30562291758	0.934255469367494	0.155096071844928	6.02372102822569	1.70452063308585e-09	1.59770400674581e-06
FGBKPADF_00676	2207.31041019447	0.786111539395902	0.157020996529588	5.00641033218619	5.54544765785378e-07	0.000150796349094958
FGBKPADF_00677	917.362845533821	0.729605347483836	0.126758916833862	5.75585028420603	8.62067640585183e-09	4.84826841065107e-06
FGBKPADF_00678	11974.6711199427	-0.0471648341346775	0.0504222907064809	-0.935396497736174	0.349584001143803	0.826770572932189
FGBKPADF_00680	128.587029774777	-0.0194557921224934	0.355867297685533	-0.0546714807711434	0.956400190417314	NA
FGBKPADF_00681	545.399946374286	0.21163605780163	0.172091769840385	1.22978604960552	0.218777233576763	0.758280475828844
FGBKPADF_00682	74.478619952524	0.650084102090742	0.334782483088295	1.94181038414513	0.0521600593170656	NA
FGBKPADF_00683	231.45522446954	-0.103270067300951	0.137184436141942	-0.752782678598465	0.451580517170088	NA
FGBKPADF_00684	236.983240311817	-0.206419052184835	0.188832527378004	-1.09313292074742	0.274335443608758	NA
FGBKPADF_00685	2770.45494809074	-0.112439597899807	0.0677395414260538	-1.65988129728556	0.0969383346361903	0.587479734907256
FGBKPADF_00686	21.4604533244294	0.54617479912189	0.441155259364164	1.23805573554555	0.215695395231398	NA
FGBKPADF_00687	90.9015052741468	-0.0927252257228956	0.26015830771263	-0.356418468962827	0.721527200114901	NA
FGBKPADF_00688	124.334463469391	-0.0159775799937896	0.233133464050908	-0.0685340479061412	0.945360517471347	NA
FGBKPADF_00689	8967.35578573522	-0.00278551184004267	0.063065341826309	-0.0441686631575607	0.964769960843348	0.996795070633785
FGBKPADF_00690	7096.60203415768	-0.133233425457574	0.072418036650142	-1.83978234733477	0.0658001980942974	0.502734789570516
