Geneid	T0	T10
IABCJNHA_00784	738	26
IABCJNHA_00785	1037	679
IABCJNHA_00786	155	87
IABCJNHA_00787	10	8
IABCJNHA_00788	114	167
IABCJNHA_00789	155	70
IABCJNHA_00790	131	80
IABCJNHA_00791	90	114
IABCJNHA_00792	0	0
IABCJNHA_00793	2032	1280
IABCJNHA_00794	24	28
IABCJNHA_00795	51	45
IABCJNHA_00796	174	168
IABCJNHA_00797	105	91
IABCJNHA_00798	21	14
IABCJNHA_00799	1	1
IABCJNHA_00800	4	16
IABCJNHA_00801	0	0
IABCJNHA_00802	433	22
IABCJNHA_00803	15	1
IABCJNHA_00804	38	7
IABCJNHA_00805	87	15
IABCJNHA_00806	199	47
IABCJNHA_00807	86	20
IABCJNHA_00808	355	115
IABCJNHA_00809	0	0
IABCJNHA_00810	11	22
IABCJNHA_00811	0	0
IABCJNHA_00812	4	1
IABCJNHA_00813	0	1
IABCJNHA_00814	68	47
IABCJNHA_00815	246	151
IABCJNHA_00816	183	105
IABCJNHA_00817	162	129
IABCJNHA_00818	341	157
IABCJNHA_00819	76	49
IABCJNHA_00820	51	24
IABCJNHA_00821	54	28
IABCJNHA_00822	8	0
IABCJNHA_00823	9	544
IABCJNHA_00824	28	1774
IABCJNHA_00825	57	712
IABCJNHA_00826	44	322
IABCJNHA_00827	123	627
IABCJNHA_00828	46	337
IABCJNHA_00829	4	24
IABCJNHA_00830	2	10
IABCJNHA_00831	0	2
IABCJNHA_00832	152	64
IABCJNHA_00833	3631	2207
IABCJNHA_00834	44	119
IABCJNHA_00835	79	40
IABCJNHA_00836	27	13
IABCJNHA_00837	135	62
IABCJNHA_00838	48	53
IABCJNHA_00839	49	13
IABCJNHA_00840	15	12
IABCJNHA_00841	235	102
IABCJNHA_00842	0	10
IABCJNHA_00843	406	83
IABCJNHA_00844	32	32
IABCJNHA_00845	8	6
IABCJNHA_00846	2	4
IABCJNHA_00847	3	0
IABCJNHA_00848	2	8
IABCJNHA_00849	129	138
IABCJNHA_00850	35	36
IABCJNHA_00851	1	0
IABCJNHA_00852	3	0
IABCJNHA_00853	2	0
IABCJNHA_00854	0	0
IABCJNHA_00855	42	12
IABCJNHA_00856	17	8
IABCJNHA_00857	58	4
IABCJNHA_00858	383	186
IABCJNHA_00859	2452	1815
IABCJNHA_00860	357	168
IABCJNHA_00861	93	79
IABCJNHA_00862	6	13
IABCJNHA_00863	41	21
IABCJNHA_00864	180	117
IABCJNHA_00865	89	70
IABCJNHA_00866	672	608
IABCJNHA_00867	2	24
IABCJNHA_00868	1227	1118
IABCJNHA_00869	2585	2154
IABCJNHA_00870	1536	1478
IABCJNHA_00871	1641	1644
IABCJNHA_00872	3177	3250
IABCJNHA_00873	57	29
IABCJNHA_00874	6	8
IABCJNHA_00875	4	6
IABCJNHA_00876	78	69
IABCJNHA_00877	112	59
IABCJNHA_00878	10	6
IABCJNHA_00879	8	2
IABCJNHA_00880	0	2
IABCJNHA_00881	0	0
IABCJNHA_00882	0	2
IABCJNHA_00883	22	22
IABCJNHA_00884	20	0
IABCJNHA_00885	12	6
IABCJNHA_00886	2	4
IABCJNHA_00887	23	16
IABCJNHA_00888	0	0
IABCJNHA_00889	0	0
IABCJNHA_00890	0	0
IABCJNHA_00891	2	0
IABCJNHA_00892	6	2
IABCJNHA_00893	2	0
IABCJNHA_00894	8	1
IABCJNHA_00895	16	7
IABCJNHA_00896	2	2
IABCJNHA_00897	1	0
IABCJNHA_00898	9	2
IABCJNHA_00899	8	0
IABCJNHA_00900	9	2
IABCJNHA_00901	95	40
IABCJNHA_00902	96	46
IABCJNHA_00903	213	60
IABCJNHA_00904	38	13
IABCJNHA_00905	28	10
IABCJNHA_00906	4	8
IABCJNHA_00907	617	138
IABCJNHA_00908	2	3
IABCJNHA_00909	69	24
IABCJNHA_00910	147	116
IABCJNHA_00911	263	117
IABCJNHA_00912	0	0
IABCJNHA_00913	12	11
IABCJNHA_00914	704	263
IABCJNHA_00915	439	157
IABCJNHA_00916	606	263
IABCJNHA_00917	230	138
IABCJNHA_00918	258	169
IABCJNHA_00919	29	28
IABCJNHA_00920	932	186
IABCJNHA_00921	6	2
IABCJNHA_00922	4	4
IABCJNHA_00923	152	45
IABCJNHA_00924	203	85
IABCJNHA_00925	12	5
IABCJNHA_00926	20	11
IABCJNHA_00927	50	16
